,Магазин,Координаты и время,Категория,Бренд,Номер карты,Количество товаров,Цена
267,Sephora,"('59.92824665,30.35999192', '16:15')",Тушь,BareMinerals,5404884135060226,56,99
268,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Пудра,Lancôme,5106380475047783,44,2199
269,Эльдорадо,"('59.94584125,30.480875', '16:34')",Микроволновая печь,SteelSeries,4276376944508096,87,1295
270,Sephora,"('59.92824665,30.35999192', '16:15')",Тушь,Neutrogena,5106266989539504,38,300
271,Subbota,"('59.9538908,30.296822', '14:00')",Футболка,Patagonia,4276814810038567,76,2301
272,Citilink mini,"('60.0474289,30.3748429', '10:37')",Монитор,Yokohama,4272393927606810,95,13000
273,Подружка,"('59.9604693,30.3164542', '20:09')",Гель,Glossier,4274522113795212,20,105
274,Citilink mini,"('60.0474289,30.3748429', '10:37')",Принтер,Asus,4279891780253820,37,13405
275,Спортмастер,"('59.9128513,30.446262', '20:56')",Свитер,Ba&sh,4274514990688395,64,1005
276,SMEG,"('59.9547305,30.3265232', '16:24')",Телевизор,Canon,4276794730383646,23,136499
277,Гум,"('59.9937587,30.1931236', '19:11')",Костюм,Fat Face,5106346986096524,5,3799
278,Familia,"('59.92634555,30.32030116', '11:53')",Бикини,See by Chloe,4279472364516188,32,999
279,Fab Store,"('59.9302169,30.3246437', '11:30')",Свитер,Paige,5106141731235055,6,2601
280,Подружка,"('59.9604693,30.3164542', '20:09')",Тональник,Laura Geller,5106315514316497,65,4200
281,123.ru,"('59.90625125,29.70726325', '17:26')",Стиральная машина,MSI,5106724543275774,84,71300
282,123.ru,"('59.90625125,29.70726325', '17:26')",Принтер,Biostar,5106854578931687,26,2900
283,Спутник,"('59.9189277,30.346303', '12:43')",Блеск,L'Oreal Paris,5106862094016899,94,100
284,Fab Store,"('59.9302169,30.3246437', '11:30')",Футболка,French Connection,5106475504195178,10,1099
285,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Крем,Beauty Bakerie,4272353547877027,98,995
286,Fab Store,"('59.9302169,30.3246437', '11:30')",Ветровка,AG Jeans,4279583715473828,45,2701
287,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Маскара,L'Oreal Paris,5106708458336032,34,695
288,М.Видео,"('59.9907784,30.2061089', '15:19')",Микроволновая печь,Artec,5106201865375816,7,4400
289,Гум,"('59.9937587,30.1931236', '19:11')",Блузка,Ted Baker,4274372919448691,39,1901
290,Эльдорадо,"('59.94584125,30.480875', '16:34')",Холодильник,Huawei,4274178023138705,34,73899
291,Спутник,"('59.9189277,30.346303', '12:43')",Тушь,Jouer Cosmetics,5106463063059965,90,599
292,Отдел,"('60.04797585,30.26449915', '13:07')",Шляпа,10 Crosby Derek Lam,4272974346976390,60,2700
293,Familia,"('59.92634555,30.32030116', '11:53')",Платье,Michael Michael Kors,5106448211507191,91,5600
294,Гум,"('59.9937587,30.1931236', '19:11')",Свитер,Superdry,5106139743668623,74,2101
295,Subbota,"('59.9538908,30.296822', '14:00')",Шарф,Barbour,4279749406375376,44,1400
296,Подружка,"('59.9604693,30.3164542', '20:09')",Основа,ColourPop,5106463563911216,95,799
297,Familia,"('59.92634555,30.32030116', '11:53')",Юбка,Victoria Beckham,4274621194796068,34,700
298,123.ru,"('59.90625125,29.70726325', '17:26')",Стиральная машина,ASRock,5106911590670875,6,98300
299,Fab Store,"('59.9302169,30.3246437', '11:30')",Перчатки,Erdem,4279330394475969,17,2100
300,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Тушь,Murad,5106593375502720,53,1099
301,Гум,"('59.9937587,30.1931236', '19:11')",Джинсы,Oasis,5404487308622387,41,1600
302,Спутник,"('59.9189277,30.346303', '12:43')",Крем,Mario Badescu,5106852075693636,77,599
303,Спортмастер,"('59.9128513,30.446262', '20:56')",Рубашка,FRAME,4272132017290935,34,501
304,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Блеск,Lancôme,5106499113356892,70,1100
305,Гум,"('59.9937587,30.1931236', '19:11')",Блузка,Miss Selfridge,4274278575391236,92,3199
306,Спортмастер,"('59.9128513,30.446262', '20:56')",Куртка,Burberry,5106191653905372,70,4401
307,Подружка,"('59.9604693,30.3164542', '20:09')",Парфюм,Yves Saint Laurent,5106207169807617,97,2701
308,Gate31,"('59.9307242,30.345161', '18:45')",Юбка,Karen Millen,5106506539260635,90,1500
309,Котофото,"('59.9252998,30.3170072', '16:42')",Стиральная машина,Federal,5106673397978268,52,19295
310,Подружка,"('59.9604693,30.3164542', '20:09')",Шампунь,RoC,4274445149411123,42,600
311,Citilink mini,"('60.0474289,30.3748429', '10:37')",Смартфон,Phanteks,4279687748050773,12,89199
312,Спутник,"('59.9189277,30.346303', '12:43')",Тональник,Briogeo,4272326558189871,63,399
313,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Помада,Cetaphil,5106934799681687,22,1905
314,Технопарк,"('59.90775075,30.32520831', '21:03')",Фотокамера,Cordiant,5469797957373100,99,81601
315,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Линер,First Aid Beauty,5106402680997815,65,1801
316,Citilink,"('59.9992825,30.3597408', '19:16')",Планшет,ECS,5106753657709248,81,63905
317,Гум,"('59.9937587,30.1931236', '19:11')",Костюм,Boden,5469597337845796,42,5200
318,PiterGSM,"('59.9323949,30.3661284', '11:54')",Монитор,OnePlus,5404433244229717,58,8705
319,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Консилер,Anastasia Beverly Hills,5106981471994433,77,300
320,Спутник,"('59.9189277,30.346303', '12:43')",Помада,Laura Geller Beauty,4272930751122904,93,1500
321,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Крем,Peter Thomas Roth,4272531027963330,76,999
322,Спутник,"('59.9189277,30.346303', '12:43')",Румяна,Sunday Riley,5106318269536611,50,2400
323,Citilink mini,"('60.0474289,30.3748429', '10:37')",Телевизор,Razer,4279146598437123,8,19299
324,Citilink,"('59.9992825,30.3597408', '19:16')",Плеер и аудиотехника,Lenovo,5469159075550504,22,299
325,Технопарк,"('59.90775075,30.32520831', '21:03')",Микроволновая печь,Acer,5404997496574308,76,13195
326,Котофото,"('59.9252998,30.3170072', '16:42')",Микроволновая печь,MSI,5469131822371858,52,5605
327,Эльдорадо,"('59.94584125,30.480875', '16:34')",Пылесос,Radeon,4279630810818649,93,3199
328,Code7,"('59.9595411,30.3145212', '11:19')",Перчатки,Oasis,4272927690470554,92,99
329,Рив Гош,"('59.990724,30.2053798', '19:44')",Блеск,Chanel,4273952713500482,36,205
330,Citilink mini,"('60.0474289,30.3748429', '10:37')",Принтер,Antec,5469885284958052,93,11900
331,Спортмастер,"('59.9128513,30.446262', '20:56')",Жилет,Boden,5404523294806300,32,400
332,Спортмастер,"('59.9128513,30.446262', '20:56')",Куртка,Hobbs,5469360025693043,21,9905
333,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Парфюм,Huda Beauty,4276422953509569,21,8599
334,Эльдорадо,"('59.94584125,30.480875', '16:34')",Микроволновая печь,Sapphire,5106527978569900,35,13105
335,Эльдорадо,"('59.94584125,30.480875', '16:34')",Смартфон,Barum,5106614888977755,39,72900
336,Гум,"('59.9937587,30.1931236', '19:11')",Ветровка,Tommy Hilfiger,4279362825772939,45,805
337,Спортмастер,"('59.9128513,30.446262', '20:56')",Костюм,Steve Madden,4272966155407952,42,7700
338,Code7,"('59.9595411,30.3145212', '11:19')",Шапка,Steve Madden,4272510668301477,96,405
339,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Блеск,Lorac,4273976087208594,81,500
340,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Румяна,Kiehl's,4274717334031368,46,1099
341,Спутник,"('59.9189277,30.346303', '12:43')",Крем,Sunday Riley,5106804819494600,22,4400
342,Котофото,"('59.9252998,30.3170072', '16:42')",Гарнитура,Seasonic,5106317679024022,66,3499
343,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Линер,Tarte Cosmetics,4279417696347618,96,595
344,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Парфюм,Chanel,5106398281050683,7,3295
345,Sephora,"('59.92824665,30.35999192', '16:15')",Румяна,Kate Somerville,4272857959391696,42,999
346,Спортмастер,"('59.9128513,30.446262', '20:56')",Шарф,Simone Rocha,5106162550549403,79,1999
347,DNS,"('59.8835274,30.370143', '10:22')",Плеер и аудиотехника,Blacklion,4276935144232151,38,7900
348,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Пудра,Nuxe,4273301921769935,69,1595
349,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Тональник,Briogeo,4274461133918456,17,100
350,Gate31,"('59.9307242,30.345161', '18:45')",Шляпа,Jason Wu,5106527882668865,98,1305
351,Citilink mini,"('60.0474289,30.3748429', '10:37')",Ноутбук,GT Radial,4274354664794513,97,20299
352,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Блеск,Bioderma,5106721304793057,97,105
353,Отдел,"('60.04797585,30.26449915', '13:07')",Платье,Baukjen,5106917556705287,34,6505
354,Subbota,"('59.9538908,30.296822', '14:00')",Костюм,Whistles,5469204173143929,22,3801
355,Citilink mini,"('60.0474289,30.3748429', '10:37')",Плеер и аудиотехника,Nitto,5106218182600582,40,3101
356,PiterGSM,"('59.9323949,30.3661284', '11:54')",Планшет,Realme,4272384868892622,79,6805
357,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Румяна,Tarte Cosmetics,5106950843554435,12,901
358,Спортмастер,"('59.9128513,30.446262', '20:56')",Плавки,AllSaints,5469193136385395,20,2105
359,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Тушь,Marc Jacobs Beauty,5106416650289360,85,101
360,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Линер,Too Faced,5469431088703847,23,200
361,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Блеск,Laura Mercier,4274311928586297,44,1499
362,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Шампунь,AmorePacific,5106352333705815,84,1900
363,Sephora,"('59.92824665,30.35999192', '16:15')",Тональник,Yves Saint Laurent,4274946696680342,29,601
364,Subbota,"('59.9538908,30.296822', '14:00')",Юбка,The Attico,4279669444280171,95,499
365,Citilink mini,"('60.0474289,30.3748429', '10:37')",Пылесос,HTC,5106984093544569,70,31999
366,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Консилер,Neutrogena,5106272552971409,20,300
367,Fab Store,"('59.9302169,30.3246437', '11:30')",Шапка,Fendi,5106792494219658,26,1300
368,Citilink mini,"('60.0474289,30.3748429', '10:37')",Кондиционер,Acer,5106518191165314,27,4299
369,123.ru,"('59.90625125,29.70726325', '17:26')",Стиральная машина,Dyson,4273863853948964,9,28199
370,Familia,"('59.92634555,30.32030116', '11:53')",Джинсы,Saks Potts,5469745865402758,78,3199
371,Эльдорадо,"('59.94584125,30.480875', '16:34')",Гарнитура,Ryzen,5469760092605552,94,699
372,Спортмастер,"('59.9128513,30.446262', '20:56')",Юбка,Puma,5106735005543644,79,400
373,Подружка,"('59.9604693,30.3164542', '20:09')",Крем,Fresh,4274888104317370,45,2099
374,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Румяна,Lancôme,4274268860714662,83,405
375,123.ru,"('59.90625125,29.70726325', '17:26')",Холодильник,Gislaved,4274834546117938,63,31201
376,Paper Shop,"('59.7933155,30.3309104', '13:56')",Шапка,Coach,4274395101520603,93,700
377,Спортмастер,"('59.9128513,30.446262', '20:56')",Платье,Peter Pilotto,4272845386948150,38,1699
378,Спутник,"('59.9189277,30.346303', '12:43')",Лосьон,Laura Mercier,5106680760832464,27,100
379,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Крем,Drunk Elephant,4274499777455417,52,1105
380,Paper Shop,"('59.7933155,30.3309104', '13:56')",Шорты,Balenciaga,4272617346345184,52,500
381,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Маскара,Covergirl,5469673386529458,26,1905
382,SMEG,"('59.9547305,30.3265232', '16:24')",Стиральная машина,Meizu,4274269914569922,8,40500
383,Citilink mini,"('60.0474289,30.3748429', '10:37')",Пылесос,Whirlpool,4274359102933774,23,1895
384,Sephora,"('59.92824665,30.35999192', '16:15')",Пудра,Kate Somerville,4272303164716303,66,100
385,Спутник,"('59.9189277,30.346303', '12:43')",Лосьон,Tarte Cosmetics,5106705465065152,72,1299
386,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Лосьон,Kiko Milano,4274224924148871,82,899
387,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Консилер,Guerlain,4274941506170290,56,605
388,Технопарк,"('59.90775075,30.32520831', '21:03')",Гарнитура,Indesit,4272888078502923,88,99
389,123.ru,"('59.90625125,29.70726325', '17:26')",Стиральная машина,Federal,4276221102875725,52,73900
390,Котофото,"('59.9252998,30.3170072', '16:42')",Микроволновая печь,SteelSeries,4272763639856928,24,7299
391,Отдел,"('60.04797585,30.26449915', '13:07')",Юбка,Karen Millen,4272222130391947,64,201
392,Гум,"('59.9937587,30.1931236', '19:11')",Штаны,Rick Owens,5106531298375131,73,800
393,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Гель,Makeup Forever,5469706631420623,99,195
394,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Румяна,Neutrogena,5404538173807236,98,499
395,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Линер,Laura Mercier,5106285833102512,65,5
396,Paper Shop,"('59.7933155,30.3309104', '13:56')",Штаны,Dolce & Gabbana,4279163961968132,35,10800
397,DNS,"('59.8835274,30.370143', '10:22')",Фотокамера,Duraturn,5106355113365731,17,8305
398,Подружка,"('59.9604693,30.3164542', '20:09')",Румяна,Summer Fridays,4274496012691773,81,1400
399,Спортмастер,"('59.9128513,30.446262', '20:56')",Футболка,Fat Face,4276846848563939,100,2905
400,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Пудра,Algenist,5106781784344504,76,2695
401,Citilink,"('59.9992825,30.3597408', '19:16')",Видеокамера,Whirlpool,4276906265540590,18,5499
402,Технопарк,"('59.90775075,30.32520831', '21:03')",Принтер,Falken,5213869877076514,74,3099
403,Code7,"('59.9595411,30.3145212', '11:19')",Платье,3.1 Phillip Lim,5106814301303877,62,2100
404,DNS,"('59.8835274,30.370143', '10:22')",Принтер,GoPro,4273234075938045,11,9101
405,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Консилер,BareMinerals,5106770501765090,86,4805
406,Отдел,"('60.04797585,30.26449915', '13:07')",Перчатки,Simone Rocha,5469976244480396,36,1
407,Гум,"('59.9937587,30.1931236', '19:11')",Шляпа,Ted Baker,5106826722679365,36,905
408,Familia,"('59.92634555,30.32030116', '11:53')",Ветровка,French Connection,5469997218275224,22,2400
409,Эльдорадо,"('59.94584125,30.480875', '16:34')",Пылесос,HyperX,4272878979738230,67,3200
410,Familia,"('59.92634555,30.32030116', '11:53')",Перчатки,Paige,4272411323868047,28,205
411,PiterGSM,"('59.9323949,30.3661284', '11:54')",Стиральная машина,Pirelli,5106878655555644,57,33600
412,PiterGSM,"('59.9323949,30.3661284', '11:54')",Принтер,Federal,4274542702370156,38,15799
413,Fab Store,"('59.9302169,30.3246437', '11:30')",Шапка,M&S Collection,4279169767045449,95,599
414,Citilink mini,"('60.0474289,30.3748429', '10:37')",Смартфон,Insa Turbo,4279963603776439,37,19105
415,PiterGSM,"('59.9323949,30.3661284', '11:54')",Микроволновая печь,SteelSeries,4274757608650007,81,2300
416,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Румяна,Too Faced,4276208935832917,57,205
417,Gate31,"('59.9307242,30.345161', '18:45')",Куртка,White Stuff,5469548272165868,100,399
418,Подружка,"('59.9604693,30.3164542', '20:09')",Тушь,Becca Cosmetics,4276871469661694,77,1305
419,Paper Shop,"('59.7933155,30.3309104', '13:56')",Шорты,Finery,4274585807538255,94,1405
420,Эльдорадо,"('59.94584125,30.480875', '16:34')",Телевизор,AOC,5404621272245781,13,88600
421,М.Видео,"('59.9907784,30.2061089', '15:19')",Микроволновая печь,Zotac,4279299211990489,17,11301
422,Спортмастер,"('59.9128513,30.446262', '20:56')",Бикини,Warehouse,5404601648051903,43,600
423,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Лосьон,Kopari Beauty,4274147351104689,29,1100
424,PiterGSM,"('59.9323949,30.3661284', '11:54')",Планшет,Ryzen,5106814620507338,35,40601
425,SMEG,"('59.9547305,30.3265232', '16:24')",Монитор,GoPro,5106577572191275,67,6105
